Frame, Start, Duration, Pressure1, Pressure2
395, 29.33997, 20.06200, 4.01e+0, 4.018e+0
396, 29.67825, 20.06200, 4.00e+0, 4.010e+0
397, 30.01627, 20.06200, 4.01e+0, 4.016e+0
398, 30.35455, 20.06200, 4.00e+0, 4.016e+0
399, 30.69257, 20.06200, 4.00e+0, 4.014e+0
400, 31.03085, 20.06200, 3.99e+0, 4.009e+0
401, 31.36887, 20.06200, 4.01e+0, 4.013e+0
402, 31.70715, 20.06200, 4.00e+0, 4.016e+0
403, 32.04518, 20.06200, 4.00e+0, 4.013e+0
404, 32.38345, 20.06200, 4.01e+0, 4.015e+0
405, 32.72173, 20.04600, 4.01e+0, 4.017e+0
406, 33.05977, 20.06200, 4.00e+0, 4.014e+0
407, 33.39803, 20.06200, 4.00e+0, 4.015e+0
408, 33.73710, 20.06200, 4.00e+0, 4.016e+0
409, 34.07538, 20.06200, 4.01e+0, 4.014e+0
410, 34.41393, 20.04600, 4.01e+0, 4.021e+0
411, 34.75195, 20.06200, 4.01e+0, 4.018e+0
412, 35.09023, 20.06200, 4.01e+0, 4.014e+0
413, 35.42825, 20.06200, 3.99e+0, 4.016e+0
414, 35.76653, 20.06200, 4.00e+0, 4.012e+0
415, 36.10455, 20.06200, 4.00e+0, 4.014e+0
416, 36.44283, 20.06200, 4.00e+0, 4.013e+0
417, 36.78085, 20.06200, 4.01e+0, 4.012e+0
418, 37.11940, 20.06200, 4.00e+0, 4.015e+0
419, 37.45768, 20.04600, 4.01e+0, 4.015e+0
420, 37.79595, 20.06200, 4.00e+0, 4.013e+0
421, 38.13423, 20.06200, 4.01e+0, 4.018e+0
422, 38.47227, 20.06200, 4.01e+0, 4.018e+0
423, 38.81053, 20.06200, 4.00e+0, 4.013e+0
424, 39.14857, 20.06200, 4.00e+0, 4.015e+0
425, 39.48710, 20.06200, 4.01e+0, 4.016e+0
426, 39.82512, 20.06200, 4.00e+0, 4.014e+0
427, 40.16340, 20.06200, 4.01e+0, 4.014e+0
428, 40.50168, 20.04600, 4.00e+0, 4.016e+0
429, 40.83970, 20.06200, 4.01e+0, 4.015e+0
430, 41.17825, 20.06200, 4.00e+0, 4.016e+0
431, 41.51627, 20.06200, 4.00e+0, 4.014e+0
432, 41.85533, 20.06200, 4.01e+0, 4.016e+0
433, 42.19362, 20.06200, 4.00e+0, 4.012e+0
434, 42.53163, 20.06200, 4.01e+0, 4.015e+0
435, 42.86992, 20.06200, 4.01e+0, 4.016e+0
436, 43.20820, 20.04600, 4.01e+0, 4.019e+0
437, 43.54622, 20.06200, 4.00e+0, 4.014e+0
438, 43.88450, 20.04600, 4.00e+0, 4.015e+0
439, 44.22252, 20.06200, 4.00e+0, 4.014e+0
440, 44.56080, 20.06200, 4.00e+0, 4.016e+0
441, 44.89908, 20.04600, 4.01e+0, 4.021e+0
442, 45.23762, 20.06200, 4.00e+0, 4.011e+0
443, 45.57565, 20.06200, 4.00e+0, 4.015e+0
444, 45.91393, 20.06200, 4.01e+0, 4.018e+0
445, 46.25195, 20.06200, 4.00e+0, 4.016e+0
446, 46.59023, 20.06200, 4.01e+0, 4.017e+0
447, 46.92852, 20.04600, 4.00e+0, 4.017e+0
448, 47.26653, 20.06200, 4.01e+0, 4.016e+0
449, 47.60482, 20.06200, 4.01e+0, 4.018e+0
450, 47.94310, 20.06200, 4.00e+0, 4.019e+0
451, 48.28163, 20.06200, 3.99e+0, 4.010e+0
452, 48.61992, 20.06200, 4.01e+0, 4.016e+0
453, 48.95793, 20.06200, 4.00e+0, 4.014e+0
454, 49.29622, 20.06200, 4.01e+0, 4.016e+0
455, 49.63450, 20.04600, 4.00e+0, 4.013e+0
456, 49.97252, 20.06200, 4.00e+0, 4.016e+0
457, 50.31080, 20.06200, 3.99e+0, 4.014e+0
458, 50.64882, 20.06200, 4.00e+0, 4.017e+0
459, 50.98710, 20.06200, 4.01e+0, 4.017e+0
460, 51.32538, 20.06200, 4.00e+0, 4.017e+0
461, 51.66367, 20.06200, 4.00e+0, 4.015e+0
462, 52.00168, 20.06200, 4.00e+0, 4.012e+0
