scan_num,charge,abundance,mz,fit,average_mw,monoisotopic_mw,mostabundant_mw,fwhm,signal_noise,mono_abundance,mono_plus2_abundance
266,3,228,497.2652,0.1003,1489.7678,1488.7738,1488.7738,0.0587,100.00,3736,2009
266,3,320,575.6584,0.0864,1725.0958,1723.9534,1723.9534,0.0807,145.60,2495,1140
266,3,556,515.9685,0.2572,1545.9175,1544.8836,1544.8836,0.0494,3.89,1481,318
266,3,391,608.6156,0.0488,1823.0203,1821.8221,1822.8251,0.0782,100.00,1284,966
266,2,350,483.3082,0.1042,965.1920,964.6020,964.6020,0.0596,100.00,1140,128
266,2,68,471.2924,0.0973,941.1459,940.5703,940.5703,0.0596,100.00,758,283
266,3,20,416.2491,0.1717,1246.4823,1245.7255,1245.7255,0.0596,100.00,755,0
266,3,245,562.9941,0.2976,1687.0767,1685.9606,1685.9606,0.2838,7.80,744,406
266,2,335,502.7728,0.1498,1004.1456,1003.5310,1003.5310,0.0536,100.00,695,368
266,2,558,447.2004,0.0739,892.9339,892.3862,892.3862,0.2881,4.89,676,116
266,3,48,487.2496,0.2449,1459.7052,1458.7271,1458.7271,0.2881,412.93,495,390
266,2,450,446.7099,0.2349,891.9529,891.4053,891.4053,0.0567,16.55,478,227
266,6,145,454.5749,0.1729,2722.1497,2720.4029,2721.4057,0.0567,6.48,173,497
266,1,21,515.2419,0.1515,514.5495,514.2346,514.2346,0.0567,3.26,377,53
266,1,18,564.3348,0.1096,563.6699,563.3275,563.3275,0.0567,100.00,377,0
267,4,1893,542.5493,0.0631,2166.5707,2165.1650,2166.1679,0.0609,59.07,6311,3991
267,2,3681,435.7593,0.0542,870.0392,869.5041,869.5041,0.0533,100.00,6642,581
267,2,2523,461.7588,0.0718,922.0644,921.5030,921.5030,0.0521,100.00,4776,1724
267,3,937,575.6618,0.1121,1725.1061,1723.9637,1723.9637,0.0586,151.71,2600,1807
267,3,565,608.3079,0.1070,1823.1000,1821.9020,1822.9049,0.0660,100.00,1770,1179
267,3,356,497.2668,0.2162,1489.7727,1488.7787,1488.7787,0.2100,100.00,1500,312
